movieId,totalSeats,availableSeats,screenName,language,movieFormat,subtitle,screenType,filmFormat,theatreId,experienceKey,startTime,endTime
30667,422,369,AUDI 05 PXL,English,ATMOS,True,PXL,,533,pxl,2025-07-07T04:20:00,2025-07-07T07:32:00
30667,422,368,AUDI 05 PXL,English,ATMOS,True,PXL,,533,pxl,2025-07-07T10:25:00,2025-07-07T13:37:00
30667,422,406,AUDI 05 PXL,English,ATMOS,True,PXL,,533,pxl,2025-07-07T16:30:00,2025-07-07T19:42:00
30667,88,1,AUDI 03 4DX,English,4DX,True,4DX,,511,4dx,2025-07-07T05:50:00,2025-07-07T08:47:00
30667,88,1,AUDI 03 4DX,English,4DX,True,4DX,,511,4dx,2025-07-07T11:25:00,2025-07-07T14:22:00
30667,376,361,AUDI 05,English,ATMOS,True,ATMOS,,511,atmos,2025-07-07T04:10:00,2025-07-07T07:22:00
30667,376,352,AUDI 05,English,ATMOS,True,ATMOS,,511,atmos,2025-07-07T10:15:00,2025-07-07T13:27:00
30667,376,365,AUDI 05,English,ATMOS,True,ATMOS,,511,atmos,2025-07-07T16:45:00,2025-07-07T19:57:00
30667,44,44,AUDI 02 GOLD,English,,True,GOLD,,511,gold,2025-07-07T03:50:00,2025-07-07T06:47:00
30667,44,33,AUDI 01 GOLD,English,,True,GOLD,,511,gold,2025-07-07T13:35:00,2025-07-07T16:47:00
30667,318,273,AUDI 10 PXL,English,ATMOS,True,PXL,,511,pxl,2025-07-07T07:10:00,2025-07-07T10:22:00
30667,318,268,AUDI 10 PXL,English,ATMOS,True,PXL,,511,pxl,2025-07-07T13:15:00,2025-07-07T16:27:00
30667,249,226,AUDI 05,English,ATMOS,True,,,534,,2025-07-07T04:30:00,2025-07-07T07:39:00
30667,249,244,AUDI 05,English,ATMOS,True,,,534,,2025-07-07T10:35:00,2025-07-07T13:44:00
30667,249,249,AUDI 05,English,ATMOS,True,,,534,,2025-07-07T16:40:00,2025-07-07T19:49:00
30667,84,18,AUDI 04 4DX,English,4DX,True,4DX,,534,4dx,2025-07-07T05:50:00,2025-07-07T08:47:00
30667,84,13,AUDI 04 4DX,English,4DX,True,4DX,,534,4dx,2025-07-07T14:00:00,2025-07-07T16:57:00
30667,233,228,AUDI 06,English,,True,LASER,,534,laser,2025-07-07T12:30:00,2025-07-07T15:39:00
30667,114,108,AUDI 01,English,,True,LASER,,534,laser,2025-07-07T13:45:00,2025-07-07T16:54:00
30667,233,218,AUDI 06,English,,True,LASER,,534,laser,2025-07-07T15:45:00,2025-07-07T18:54:00
30667,198,192,AUDI 06,English,,True,,,512,,2025-07-07T03:30:00,2025-07-07T06:42:00
30667,153,135,AUDI 05,English,,True,,,512,,2025-07-07T04:00:00,2025-07-07T07:09:00
30667,198,177,AUDI 06,English,,True,,,512,,2025-07-07T06:45:00,2025-07-07T09:57:00
30667,198,155,AUDI 06,English,,True,,,512,,2025-07-07T10:00:00,2025-07-07T13:12:00
30667,198,153,AUDI 06,English,,True,,,512,,2025-07-07T13:15:00,2025-07-07T16:27:00
30667,198,160,AUDI 06,English,,True,,,512,,2025-07-07T16:30:00,2025-07-07T19:42:00
30667,93,0,AUDI 01,English,4DX,True,4DX,,512,4dx,2025-07-07T05:50:00,2025-07-07T08:47:00
30667,93,1,AUDI 01,English,4DX,True,4DX,,512,4dx,2025-07-07T14:00:00,2025-07-07T16:57:00
30667,234,223,SCREEN-5,English,ATMOS,True,,,519,,2025-07-07T04:30:00,2025-07-07T07:27:00
30667,233,225,SCREEN-3,English,ATMOS,True,,,519,,2025-07-07T07:20:00,2025-07-07T10:32:00
30667,233,225,SCREEN-3,English,ATMOS,True,,,519,,2025-07-07T13:25:00,2025-07-07T16:37:00
30667,267,252,SCREEN 1,English,,True,,,14,,2025-07-07T04:45:00,2025-07-07T07:51:00
30667,136,130,SCREEN 4,English,,True,,,14,,2025-07-07T07:10:00,2025-07-07T10:16:00
30667,268,254,SCREEN 3,English,,True,,,14,,2025-07-07T10:10:00,2025-07-07T13:16:00
30667,268,249,SCREEN 3,English,,True,,,14,,2025-07-07T13:20:00,2025-07-07T16:26:00
30667,268,263,SCREEN 3,English,,True,,,14,,2025-07-07T16:30:00,2025-07-07T19:36:00
30667,242,237,SCREEN 3,English,,True,ATMOS,,282,atmos,2025-07-07T10:40:00,2025-07-07T13:49:00
30667,104,103,SCREEN 4,English,,True,LASER,,282,laser,2025-07-07T07:05:00,2025-07-07T10:16:00
30667,104,101,SCREEN 4,English,,True,LASER,,282,laser,2025-07-07T13:40:00,2025-07-07T16:51:00
30667,170,156,SCREEN 1,English,,True,,,261,,2025-07-07T08:20:00,2025-07-07T11:28:00
30667,183,183,SCREEN 4,English,,True,,,261,,2025-07-07T10:20:00,2025-07-07T13:25:00
30667,183,173,SCREEN 4,English,,True,,,261,,2025-07-07T13:30:00,2025-07-07T16:35:00
30667,170,170,SCREEN 1,English,,True,,,261,,2025-07-07T17:00:00,2025-07-07T20:10:00
30667,95,87,AUDI 07,English,,True,,,385,,2025-07-07T04:30:00,2025-07-07T07:39:00
30667,194,186,AUDI 06,English,,True,,,385,,2025-07-07T06:50:00,2025-07-07T10:02:00
30667,233,229,AUDI 01,English,,True,,,385,,2025-07-07T09:40:00,2025-07-07T12:49:00
30667,194,185,AUDI 06,English,,True,,,385,,2025-07-07T13:45:00,2025-07-07T16:57:00
30667,95,95,AUDI 07,English,,True,,,385,,2025-07-07T16:20:00,2025-07-07T19:32:00
30667,188,185,AUDI 03,English,,True,,,520,,2025-07-07T04:20:00,2025-07-07T07:32:00
30667,102,5,AUDI 07 4DX,English,4DX,True,4DX,,520,4dx,2025-07-07T05:35:00,2025-07-07T08:32:00
30667,102,5,AUDI 07 4DX,English,4DX,True,4DX,,520,4dx,2025-07-07T11:10:00,2025-07-07T14:07:00
30667,30,24,AUDI 10 GOLD,English,,True,GOLD,,520,gold,2025-07-07T05:00:00,2025-07-07T07:49:00
30667,29,27,AUDI 11 GOLD,English,,True,GOLD,,520,gold,2025-07-07T13:00:00,2025-07-07T16:12:00
30667,30,20,AUDI 10 GOLD,English,,True,GOLD,,520,gold,2025-07-07T13:50:00,2025-07-07T16:39:00
30667,304,193,AUDI 02 IMAX,English,IMAX,True,IMAX,IMAX,520,imax,2025-07-07T01:00:00,2025-07-07T03:49:00
30667,304,216,AUDI 02 IMAX,English,IMAX,True,IMAX,IMAX,520,imax,2025-07-07T03:50:00,2025-07-07T06:59:00
30667,304,207,AUDI 02 IMAX,English,IMAX,True,IMAX,IMAX,520,imax,2025-07-07T07:00:00,2025-07-07T10:09:00
30667,304,208,AUDI 02 IMAX,English,IMAX,True,IMAX,IMAX,520,imax,2025-07-07T10:10:00,2025-07-07T13:19:00
30667,304,144,AUDI 02 IMAX,English,IMAX,True,IMAX,IMAX,520,imax,2025-07-07T13:20:00,2025-07-07T16:29:00
30667,304,113,AUDI 02 IMAX,English,IMAX,True,IMAX,IMAX,520,imax,2025-07-07T16:30:00,2025-07-07T19:42:00
30667,192,172,SCREEN-4,English,ATMOS,True,,,522,,2025-07-07T13:20:00,2025-07-07T16:32:00
30667,176,166,SCREEN-2,English,ATMOS,True,,,522,,2025-07-07T17:00:00,2025-07-07T19:57:00
30667,202,174,SCREEN 2,English,,True,,,148,,2025-07-07T03:25:00,2025-07-07T06:35:00
30667,202,197,SCREEN 2,English,,True,,,148,,2025-07-07T16:50:00,2025-07-07T20:00:00
30667,220,174,IMAX 4,English,IMAX,True,IMAX,IMAX,148,imax,2025-07-07T01:10:00,2025-07-07T04:19:00
30667,220,172,IMAX 4,English,IMAX,True,IMAX,IMAX,148,imax,2025-07-07T04:20:00,2025-07-07T07:28:00
30667,220,145,IMAX 4,English,IMAX,True,IMAX,IMAX,148,imax,2025-07-07T07:30:00,2025-07-07T10:38:00
30667,220,136,IMAX 4,English,IMAX,True,IMAX,IMAX,148,imax,2025-07-07T10:40:00,2025-07-07T13:48:00
30667,220,124,IMAX 4,English,IMAX,True,IMAX,IMAX,148,imax,2025-07-07T13:50:00,2025-07-07T16:58:00
30667,220,153,IMAX 4,English,IMAX,True,IMAX,IMAX,148,imax,2025-07-07T17:00:00,2025-07-07T20:08:00
30667,34,34,SCREEN 3,English,,True,INSIGNIA,,148,insignia,2025-07-07T13:15:00,2025-07-07T16:23:00
30667,179,160,SCREEN 1,English,,True,,,127,,2025-07-07T04:30:00,2025-07-07T07:41:00
30667,262,243,SCREEN 2,English,,True,,,127,,2025-07-07T10:45:00,2025-07-07T13:54:00
30667,292,292,SCREEN 3,English,,True,,,127,,2025-07-07T17:00:00,2025-07-07T20:11:00
30667,108,95,SCREEN 2,English,,True,,,208,,2025-07-07T04:10:00,2025-07-07T07:22:00
30667,101,86,SCREEN 3,English,,True,,,208,,2025-07-07T10:45:00,2025-07-07T13:53:00
30667,105,91,SCREEN 1,English,,True,,,208,,2025-07-07T16:40:00,2025-07-07T19:52:00
30667,118,93,AUDI 01,English,,True,LASER,,528,laser,2025-07-07T04:25:00,2025-07-07T07:22:00
30667,172,169,AUDI 03,English,,True,LASER,,528,laser,2025-07-07T07:30:00,2025-07-07T10:44:00
30667,167,167,AUDI 05,English,,True,LASER,,528,laser,2025-07-07T13:35:00,2025-07-07T16:46:00
30667,44,42,AUDI 02,English,,True,,,529,,2025-07-07T04:20:00,2025-07-07T07:17:00
30667,44,21,AUDI 02,English,,True,,,529,,2025-07-07T07:20:00,2025-07-07T10:17:00
30667,44,34,AUDI 02,English,,True,,,529,,2025-07-07T10:25:00,2025-07-07T13:22:00
30667,41,25,AUDI 01,English,,True,,,529,,2025-07-07T11:00:00,2025-07-07T13:57:00
30667,44,23,AUDI 02,English,,True,,,529,,2025-07-07T13:25:00,2025-07-07T16:22:00
30667,40,19,AUDI 05,English,,True,,,529,,2025-07-07T14:00:00,2025-07-07T16:57:00
30667,44,37,AUDI 02,English,,True,,,529,,2025-07-07T16:50:00,2025-07-07T19:47:00
30667,183,153,AUDI 9,English,,True,,,507,,2025-07-07T04:30:00,2025-07-07T07:26:00
30667,172,133,AUDI 5,English,,True,,,507,,2025-07-07T16:15:00,2025-07-07T19:27:00
30667,92,22,AUDI 2 4DX,English,4DX,True,4DX,,507,4dx,2025-07-07T02:55:00,2025-07-07T05:52:00
30667,92,24,AUDI 2 4DX,English,4DX,True,4DX,,507,4dx,2025-07-07T13:40:00,2025-07-07T16:37:00
30667,26,22,AUDI 11 GOLD,English,,True,GOLD,,507,gold,2025-07-07T10:10:00,2025-07-07T13:22:00
30667,339,233,AUDI 1 IMAX,English,IMAX,True,IMAX,IMAX,507,imax,2025-07-07T01:00:00,2025-07-07T04:09:00
30667,339,215,AUDI 1 IMAX,English,IMAX,True,IMAX,IMAX,507,imax,2025-07-07T04:10:00,2025-07-07T07:19:00
30667,339,149,AUDI 1 IMAX,English,IMAX,True,IMAX,IMAX,507,imax,2025-07-07T07:20:00,2025-07-07T10:29:00
30667,339,169,AUDI 1 IMAX,English,IMAX,True,IMAX,IMAX,507,imax,2025-07-07T10:30:00,2025-07-07T13:39:00
30667,339,88,AUDI 1 IMAX,English,IMAX,True,IMAX,IMAX,507,imax,2025-07-07T13:40:00,2025-07-07T16:49:00
30667,339,106,AUDI 1 IMAX,English,IMAX,True,IMAX,IMAX,507,imax,2025-07-07T17:00:00,2025-07-07T20:09:00
30667,49,37,SCREEN 12,English,,True,INSIGNIA,,309,insignia,2025-07-07T06:25:00,2025-07-07T09:37:00
