movieId,theatreId,totalSeats,availableSeats,screenName,language,startTime,endTime,format,availability
172677,56450,235,177,SCREEN 06,,2025-08-16T06:05:00,2025-08-16T06:05:00,2D,177
172677,56450,235,223,SCREEN 06,,2025-08-16T02:30:00,2025-08-16T02:30:00,2D,223
172677,56450,135,123,SCREEN 01,,2025-08-16T02:15:00,2025-08-16T02:15:00,2D,123
172677,56451,84,78,SCREEN 03,,2025-08-16T02:00:00,2025-08-16T02:00:00,2D,78
172677,56451,94,73,SCREEN 02,,2025-08-16T06:00:00,2025-08-16T06:00:00,2D,73
172677,56451,94,88,SCREEN 02,,2025-08-16T02:20:00,2025-08-16T02:20:00,2D,88
172677,56451,94,79,SCREEN 02,,2025-08-16T13:20:00,2025-08-16T13:20:00,2D,79
172677,56451,94,68,SCREEN 02,,2025-08-16T09:40:00,2025-08-16T09:40:00,2D,68
172677,56451,94,82,SCREEN 02,,2025-08-16T17:00:00,2025-08-16T17:00:00,2D,82
172677,1052276,707,106,Veerabhadreshwara  Theatre,,2025-08-16T16:30:00,2025-08-16T15:20:00,2D,106
172677,1052276,707,111,Veerabhadreshwara  Theatre,,2025-08-16T04:45:00,2025-08-16T03:35:00,2D,111
172677,4196,577,152,Vinayaka,,2025-08-16T05:00:00,2025-08-16T04:30:00,2D,152
172677,4196,577,139,Vinayaka,,2025-08-16T08:45:00,2025-08-16T08:15:00,2D,139
172677,4196,577,149,Vinayaka,,2025-08-16T16:15:00,2025-08-16T15:45:00,2D,149
172677,4196,577,129,Vinayaka,,2025-08-16T12:30:00,2025-08-16T12:00:00,2D,129
172677,9637,150,137,AUDI 1,,2025-08-16T06:35:00,2025-08-16T06:35:00,2D,137
172677,9637,150,121,AUDI 1,,2025-08-16T03:00:00,2025-08-16T03:00:00,2D,121
172677,9637,150,110,AUDI 1,,2025-08-16T13:00:00,2025-08-16T13:00:00,2D,110
172677,9637,150,114,AUDI 1,,2025-08-16T16:35:00,2025-08-16T16:35:00,2D,114
172677,9637,203,166,AUDI 4,,2025-08-16T13:15:00,2025-08-16T13:15:00,2D,166
172677,9637,203,132,AUDI 4,,2025-08-16T09:40:00,2025-08-16T09:40:00,2D,132
172677,9637,203,154,AUDI 4,,2025-08-16T16:50:00,2025-08-16T16:50:00,2D,154
172677,9637,203,169,AUDI 4,,2025-08-16T06:05:00,2025-08-16T06:05:00,2D,169
172677,9637,236,170,AUDI 5,,2025-08-16T04:35:00,2025-08-16T04:35:00,2D,170
172677,9637,236,226,AUDI 5,,2025-08-16T01:00:00,2025-08-16T01:00:00,2D,226
172677,9637,236,192,AUDI 5,,2025-08-16T11:45:00,2025-08-16T11:45:00,2D,192
172677,9637,236,186,AUDI 5,,2025-08-16T08:10:00,2025-08-16T08:10:00,2D,186
172677,9637,236,182,AUDI 5,,2025-08-16T15:20:00,2025-08-16T15:20:00,2D,182
172677,1039754,321,296,AUDI 3,,2025-08-16T04:00:00,2025-08-16T04:25:00,2D,296
172677,1039754,321,285,AUDI 3,,2025-08-16T10:30:00,2025-08-16T10:55:00,2D,285
172677,1039754,150,150,AUDI 1,,2025-08-16T02:30:00,2025-08-16T02:55:00,2D,150
172677,1039754,321,314,AUDI 3,,2025-08-16T01:00:00,2025-08-16T01:25:00,2D,314
172677,1039754,321,302,AUDI 3,,2025-08-16T17:00:00,2025-08-16T17:25:00,2D,302
172677,1026890,596,80,Murali Cinemas,,2025-08-16T07:30:00,2025-08-16T06:30:00,2D,80
172677,1026890,596,78,Murali Cinemas,,2025-08-16T04:30:00,2025-08-16T03:30:00,2D,78
172677,1026890,596,84,Murali Cinemas,,2025-08-16T17:00:00,2025-08-16T16:00:00,2D,84
172677,1026890,596,84,Murali Cinemas,,2025-08-16T14:00:00,2025-08-16T13:00:00,2D,84
