theatreId,name,cityName,address,latitude,longitude
1022298,"PVR Central Spirit Mall, Bellandur, Bengaluru",,"Survey No.89/6, 78/7, Soul Space Spirit, Outer Ring Road, Opposite Acme Hormony Plaza, Bellandur Junction, Bengaluru, Karnataka 560103, India",12.925812,77.675313
1036213,"Newfangled Miniplex (Twin Seat), MG Road, Bengaluru",,"Newfangled Miniplex MG Road the Emporium devanam, Near Cauvery Emporium, Bangalore, Karnataka 560001, India",12.974878,77.608437
1022272,"PVR VR, Whitefield Road, Bengaluru",,"3rd Floor, VR Mall, Singayana Palya, Main Whitefield Road, Mahadevpura, Bengaluru, Karnataka 560048, India",12.996519,77.695256
1020730,"INOX Brookefield Mall, Kundalahalli, Bengaluru",,"4th Floor, Brookefield Mall, Kundalahalli Main Road, Bengaluru, Karnataka 560037, India",12.96594,77.717927
56450,"Cinepolis Lulu Global Mall, Bengaluru, Bengaluru",,"3rd Floor, Lulu Global Mall, Rajajinagar, Bengaluru, Karnataka 560023, India",12.982084,77.563691
128,"Cinepolis ETA Namma Mall, Binny Pete, Bengaluru",,"3rd Floor, Magadi Road, Mysore Circle, Binny Pete, Bengaluru, Karnataka 560023, India",12.965994,77.561947
925,"Cinepolis Orion Avenue Mall, Banaswadi, Bengaluru",,"3rd floor, Orion Avenue Mall, Banasawadi Main Road, Maruti Seva Nagar, Bengaluru, Karnataka 560033, India",13.001218,77.63265
1025662,"Sri Lakshmi Chitramandira, Tavarekere, Bengaluru",,"Tavarekere - Near Dairy, Balaji Nagar, Tavareker Road, Near Santosh Hotel, Bengaluru, Karnataka",12.925294,77.607567
11981,"Sri Lakshmi Cinemas A/C 4K, Gottigere, Bengaluru",,"Bannerghatta Main Rd, Opp Shell Petrol Bunk, Gottigere, Bangalore, Karnataka 560083, India",12.860265,77.589404
9717,"Narthaki & Sapna 4K Dolby 7.1 Digital Cinema, Bengaluru",,"No-25/26, K.G.Road, Next To Alankar Plaza, Gandhinagar, Bengaluru, Karnataka 560009, India",12.9745,77.576235
